CODIGO;DESCRICAO
3011301;Construçăo de embarcaçőes de grande porte
3011302;Construçăo de embarcaçőes para uso comercial e para usos especiais, exceto de grande porte
3012100;Construçăo de embarcaçőes para esporte e lazer
3031800;Fabricaçăo de locomotivas, vagőes e outros materiais rodantes
3032600;Fabricaçăo de peças e acessórios para veículos ferroviários
3041500;Fabricaçăo de aeronaves
3042300;Fabricaçăo de turbinas, motores e outros componentes e peças para aeronaves
3050400;Fabricaçăo de veículos militares de combate
3091100;Fabricaçăo de motocicletas, peças e acessórios
3091101;Fabricaçăo de motocicletas
3091102;Fabricaçăo de peças e acessórios para motocicletas
3092000;Fabricaçăo de bicicletas e triciclos năo-motorizados, peças e acessórios
3099700;Fabricaçăo de equipamentos de transporte năo especificados anteriormente
3101200;Fabricaçăo de móveis com predominância de madeira
3102100;Fabricaçăo de móveis com predominância de metal
3103900;Fabricaçăo de móveis de outros materiais, exceto madeira e metal
3104700;Fabricaçăo de colchőes
3211601;Lapidaçăo de gemas
3211602;Fabricaçăo de artefatos de joalheria e ourivesaria
3211603;Cunhagem de moedas e medalhas
3212400;Fabricaçăo de bijuterias e artefatos semelhantes
3220500;Fabricaçăo de instrumentos musicais, peças e acessórios
3230200;Fabricaçăo de artefatos para pesca e esporte
3240001;Fabricaçăo de jogos eletrônicos
3240002;Fabricaçăo de mesas de bilhar, de sinuca e acessórios năo associada ŕ locaçăo
3240003;Fabricaçăo de mesas de bilhar, de sinuca e acessórios associada ŕ locaçăo
3240099;Fabricaçăo de outros brinquedos e jogos recreativos năo especificados anteriormente
3250701;Fabricaçăo de instrumentos năo-eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório
3250702;Fabricaçăo de mobiliário para uso médico, cirúrgico, odontológico e de laboratório
3250703;Fabricaçăo de aparelhos e utensílios para correçăo de defeitos físicos e aparelhos ortopédicos em geral sob encomenda
3250704;Fabricaçăo de aparelhos e utensílios para correçăo de defeitos físicos e aparelhos ortopédicos em geral, exceto sob encomenda
3250705;Fabricaçăo de materiais para medicina e odontologia
3250706;Serviços de prótese dentária
3250707;Fabricaçăo de artigos ópticos
3250708;Fabricaçăo de artefatos de tecido năo tecido para uso odonto-médico-hospitalar
3250709;Serviço de laboratório óptico
3291400;Fabricaçăo de escovas, pincéis e vassouras
3292201;Fabricaçăo de roupas de proteçăo e segurança e resistentes a fogo
3292202;Fabricaçăo de equipamentos e acessórios para segurança pessoal e profissional
3299001;Fabricaçăo de guarda-chuvas e similares
3299002;Fabricaçăo de canetas, lápis e outros artigos para escritório
3299003;Fabricaçăo de letras, letreiros e placas de qualquer material, exceto luminosos
3299004;Fabricaçăo de painéis e letreiros luminosos
3299005;Fabricaçăo de aviamentos para costura
3299006;Fabricaçăo de velas, inclusive decorativas
3299099;Fabricaçăo de produtos diversos năo especificados anteriormente
3311200;Manutençăo e reparaçăo de tanques, reservatórios metálicos e caldeiras, exceto para veículos
3312101;Manutençăo e reparaçăo de equipamentos transmissores de comunicaçăo
3312102;Manutençăo e reparaçăo de aparelhos e instrumentos de medida, teste e controle
3312103;Manutençăo e reparaçăo de aparelhos eletromédicos e eletroterapęuticos e equipamentos de irradiaçăo
3312104;Manutençăo e reparaçăo de equipamentos e instrumentos ópticos
3313901;Manutençăo e reparaçăo de geradores, transformadores e motores elétricos
3313902;Manutençăo e reparaçăo de baterias e acumuladores elétricos, exceto para veículos
3313999;Manutençăo e reparaçăo de máquinas, aparelhos e materiais elétricos năo especificados anteriormente
3314701;Manutençăo e reparaçăo de máquinas motrizes năo-elétricas
3314702;Manutençăo e reparaçăo de equipamentos hidráulicos e pneumáticos, exceto válvulas
3314703;Manutençăo e reparaçăo de válvulas industriais
3314704;Manutençăo e reparaçăo de compressores
3314705;Manutençăo e reparaçăo de equipamentos de transmissăo para fins industriais
3314706;Manutençăo e reparaçăo de máquinas, aparelhos e equipamentos para instalaçőes térmicas
3314707;Manutençăo e reparaçăo de máquinas e aparelhos de refrigeraçăo e ventilaçăo para uso industrial e comercial
3314708;Manutençăo e reparaçăo de máquinas, equipamentos e aparelhos para transporte e elevaçăo de cargas
3314709;Manutençăo e reparaçăo de máquinas de escrever, calcular e de outros equipamentos năo-eletrônicos para escritório
3314710;Manutençăo e reparaçăo de máquinas e equipamentos para uso geral năo especificados anteriormente
3314711;Manutençăo e reparaçăo de máquinas e equipamentos para agricultura e pecuária
3314712;Manutençăo e reparaçăo de tratores agrícolas
3314713;Manutençăo e reparaçăo de máquinas-ferramenta
3314714;Manutençăo e reparaçăo de máquinas e equipamentos para a prospecçăo e extraçăo de petróleo
3314715;Manutençăo e reparaçăo de máquinas e equipamentos para uso na extraçăo mineral, exceto na extraçăo de petróleo
3314716;Manutençăo e reparaçăo de tratores, exceto agrícolas
3314717;Manutençăo e reparaçăo de máquinas e equipamentos de terraplenagem, pavimentaçăo e construçăo, exceto tratores
3314718;Manutençăo e reparaçăo de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta
3314719;Manutençăo e reparaçăo de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo
3314720;Manutençăo e reparaçăo de máquinas e equipamentos para a indústria tęxtil, do vestuário, do couro e calçados
3314721;Manutençăo e reparaçăo de máquinas e aparelhos para a indústria de celulose, papel e papelăo e artefatos
3314722;Manutençăo e reparaçăo de máquinas e aparelhos para a indústria do plástico
3314799;Manutençăo e reparaçăo de outras máquinas e equipamentos para usos industriais năo especificados anteriormente
3315500;Manutençăo e reparaçăo de veículos ferroviários
3316301;Manutençăo e reparaçăo de aeronaves, exceto a manutençăo na pista
3316302;Manutençăo de aeronaves na pista
3317101;Manutençăo e reparaçăo de embarcaçőes e estruturas flutuantes
3317102;Manutençăo e reparaçăo de embarcaçőes para esporte e lazer
3319800;Manutençăo e reparaçăo de equipamentos e produtos năo especificados anteriormente
3321000;Instalaçăo de máquinas e equipamentos industriais
3329501;Serviços de montagem de móveis de qualquer material
3329599;Instalaçăo de outros equipamentos năo especificados anteriormente
3511500;Geraçăo de energia elétrica
3511501;Geraçăo de energia elétrica
3511502;Atividades de coordenaçăo e controle da operaçăo da geraçăo e transmissăo de energia elétrica
3512300;Transmissăo de energia elétrica
3513100;Comércio atacadista de energia elétrica
3514000;Distribuiçăo de energia elétrica
3520401;"Produçăo de gás; processamento de gás natural"
3520402;Distribuiçăo de combustíveis gasosos por redes urbanas
3530100;Produçăo e distribuiçăo de vapor, água quente e ar condicionado
3600601;Captaçăo, tratamento e distribuiçăo de água
3600602;Distribuiçăo de água por caminhőes
3701100;Gestăo de redes de esgoto
3702900;Atividades relacionadas a esgoto, exceto a gestăo de redes
3811400;Coleta de resíduos năo-perigosos
3812200;Coleta de resíduos perigosos
3821100;Tratamento e disposiçăo de resíduos năo-perigosos
3822000;Tratamento e disposiçăo de resíduos perigosos
3831901;Recuperaçăo de sucatas de alumínio
3831999;Recuperaçăo de materiais metálicos, exceto alumínio
3832700;Recuperaçăo de materiais plásticos
3839401;Usinas de compostagem
3839499;Recuperaçăo de materiais năo especificados anteriormente
3900500;Descontaminaçăo e outros serviços de gestăo de resíduos
4110700;Incorporaçăo de empreendimentos imobiliários
4120400;Construçăo de edifícios
4211101;Construçăo de rodovias e ferrovias
4211102;Pintura para sinalizaçăo em pistas rodoviárias e aeroportos
4212000;Construçăo de obras de arte especiais
4213800;Obras de urbanizaçăo - ruas, praças e calçadas
4221901;Construçăo de barragens e represas para geraçăo de energia elétrica
4221902;Construçăo de estaçőes e redes de distribuiçăo de energia elétrica
4221903;Manutençăo de redes de distribuiçăo de energia elétrica
4221904;Construçăo de estaçőes e redes de telecomunicaçőes
4221905;Manutençăo de estaçőes e redes de telecomunicaçőes
4222701;Construçăo de redes de abastecimento de água, coleta de esgoto e construçőes correlatas, exceto obras de irrigaçăo
4222702;Obras de irrigaçăo
4223500;Construçăo de redes de transportes por dutos, exceto para água e esgoto
4291000;Obras portuárias, marítimas e fluviais
4292801;Montagem de estruturas metálicas
4292802;Obras de montagem industrial
4299501;Construçăo de instalaçőes esportivas e recreativas
4299599;Outras obras de engenharia civil năo especificadas anteriormente
4311801;Demoliçăo de edifícios e outras estruturas
4311802;Preparaçăo de canteiro e limpeza de terreno
4312600;Perfuraçőes e sondagens
4313400;Obras de terraplenagem
4319300;Serviços de preparaçăo do terreno năo especificados anteriormente
4321500;Instalaçăo e manutençăo elétrica
4322301;Instalaçőes hidráulicas, sanitárias e de gás
4322302;Instalaçăo e manutençăo de sistemas centrais de ar condicionado, de ventilaçăo e refrigeraçăo
4322303;Instalaçőes de sistema de prevençăo contra incęndio
4329101;Instalaçăo de painéis publicitários
4329102;Instalaçăo de equipamentos para orientaçăo ŕ navegaçăo marítima fluvial e lacustre
4329103;Instalaçăo, manutençăo e reparaçăo de elevadores, escadas e esteiras rolantes
4329104;Montagem e instalaçăo de sistemas e equipamentos de iluminaçăo e sinalizaçăo em vias públicas, portos e aeroportos
4329105;Tratamentos térmicos, acústicos ou de vibraçăo
4329199;Outras obras de instalaçőes em construçőes năo especificadas anteriormente
4330401;Impermeabilizaçăo em obras de engenharia civil
4330402;Instalaçăo de portas, janelas, tetos, divisórias e armários embutidos de qualquer material
4330403;Obras de acabamento em gesso e estuque
4330404;Serviços de pintura de edifícios em geral
4330405;Aplicaçăo de revestimentos e de resinas em interiores e exteriores
4330499;Outras obras de acabamento da construçăo
4391600;Obras de fundaçőes
4399101;Administraçăo de obras
4399102;Montagem e desmontagem de andaimes e outras estruturas temporárias
4399103;Obras de alvenaria
4399104;Serviços de operaçăo e fornecimento de equipamentos para transporte e elevaçăo de cargas e pessoas para uso em obras
4399105;Perfuraçăo e construçăo de poços de água
4399199;Serviços especializados para construçăo năo especificados anteriormente
4511101;Comércio a varejo de automóveis, camionetas e utilitários novos
4511102;Comércio a varejo de automóveis, camionetas e utilitários usados
4511103;Comércio por atacado de automóveis, camionetas e utilitários novos e usados
4511104;Comércio por atacado de caminhőes novos e usados
4511105;Comércio por atacado de reboques e semi-reboques novos e usados
4511106;Comércio por atacado de ônibus e microônibus novos e usados
4512901;Representantes comerciais e agentes do comércio de veículos automotores
4512902;Comércio sob consignaçăo de veículos automotores
4520001;Serviços de manutençăo e reparaçăo mecânica de veículos automotores
4520002;Serviços de lanternagem ou funilaria e pintura de veículos automotores
4520003;Serviços de manutençăo e reparaçăo elétrica de veículos automotores
4520004;Serviços de alinhamento e balanceamento de veículos automotores
4520005;Serviços de lavagem, lubrificaçăo e polimento de veículos automotores
4520006;Serviços de borracharia para veículos automotores
4520007;Serviços de instalaçăo, manutençăo e reparaçăo de acessórios para veículos automotores
4520008;Serviços de capotaria
4530701;Comércio por atacado de peças e acessórios novos para veículos automotores
4530702;Comércio por atacado de pneumáticos e câmaras-de-ar
4530703;Comércio a varejo de peças e acessórios novos para veículos automotores
4530704;Comércio a varejo de peças e acessórios usados para veículos automotores
4530705;Comércio a varejo de pneumáticos e câmaras-de-ar
4530706;Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores
4541201;Comércio por atacado de motocicletas e motonetas
4541202;Comércio por atacado de peças e acessórios para motocicletas e motonetas
4541203;Comércio a varejo de motocicletas e motonetas novas
4541204;Comércio a varejo de motocicletas e motonetas usadas
4541205;Comércio a varejo de peças e acessórios para motocicletas e motonetas
4541206;Comércio a varejo de peças e acessórios novos para  motocicletas e motonetas
4541207;Comércio a varejo de peças e acessórios usados para motocicletas e motonetas
4542101;Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios
4542102;Comércio sob consignaçăo de motocicletas e motonetas
4543900;Manutençăo e reparaçăo de motocicletas e motonetas
4611700;Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos
4612500;Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos
4613300;Representantes comerciais e agentes do comércio de madeira, material de construçăo e ferragens
4614100;Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcaçőes e aeronaves
4615000;Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico
4616800;Representantes comerciais e agentes do comércio de tęxteis, vestuário, calçados e artigos de viagem
4617600;Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo
4618401;Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria
4618402;Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares
4618403;Representantes comerciais e agentes do comércio de jornais, revistas e outras publicaçőes
4618499;Outros representantes comerciais e agentes do comércio especializado em produtos năo especificados anteriormente
4619200;Representantes comerciais e agentes do comércio de mercadorias em geral năo especializado
4621400;Comércio atacadista de café em grăo
4622200;Comércio atacadista de soja
4623101;Comércio atacadista de animais vivos
4623102;Comércio atacadista de couros, lăs, peles e outros subprodutos năo-comestíveis de origem animal
4623103;Comércio atacadista de algodăo
4623104;Comércio atacadista de fumo em folha năo beneficiado
4623105;Comércio atacadista de cacau
4623106;Comércio atacadista de sementes, flores, plantas e gramas
4623107;Comércio atacadista de sisal
4623108;Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada
4623109;Comércio atacadista de alimentos para animais
4623199;Comércio atacadista de matérias-primas agrícolas năo especificadas anteriormente
4631100;Comércio atacadista de leite e laticínios
4632001;Comércio atacadista de cereais e leguminosas beneficiados
4632002;Comércio atacadista de farinhas, amidos e féculas
4632003;Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada
4633801;Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos
4633802;Comércio atacadista de aves vivas e ovos
4633803;Comércio atacadista de coelhos e outros pequenos animais vivos para alimentaçăo
4634601;Comércio atacadista de carnes bovinas e suínas e derivados
4634602;Comércio atacadista de aves abatidas e derivados
4634603;Comércio atacadista de pescados e frutos do mar
4634699;Comércio atacadista de carnes e derivados de outros animais
4635401;Comércio atacadista de água mineral
4635402;Comércio atacadista de cerveja, chope e refrigerante
4635403;Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada
4635499;Comércio atacadista de bebidas năo especificadas anteriormente
4636201;Comércio atacadista de fumo beneficiado
4636202;Comércio atacadista de cigarros, cigarrilhas e charutos
4637101;Comércio atacadista de café torrado, moído e solúvel
4637102;Comércio atacadista de açúcar
4637103;Comércio atacadista de óleos e gorduras
4637104;Comércio atacadista de păes, bolos, biscoitos e similares
4637105;Comércio atacadista de massas alimentícias
4637106;Comércio atacadista de sorvetes
4637107;Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes
4637199;Comércio atacadista especializado em outros produtos alimentícios năo especificados anteriormente
4639701;Comércio atacadista de produtos alimentícios em geral
4639702;Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada
4641901;Comércio atacadista de tecidos
4641902;Comércio atacadista de artigos de cama, mesa e banho
4641903;Comércio atacadista de artigos de armarinho
4642701;Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança
4642702;Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho
4643501;Comércio atacadista de calçados
4643502;Comércio atacadista de bolsas, malas e artigos de viagem
4644301;Comércio atacadista de medicamentos e drogas de uso humano
4644302;Comércio atacadista de medicamentos e drogas de uso veterinário
4645101;Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios
4645102;Comércio atacadista de próteses e artigos de ortopedia
4645103;Comércio atacadista de produtos odontológicos
4646001;Comércio atacadista de cosméticos e produtos de perfumaria
4646002;Comércio atacadista de produtos de higiene pessoal
4647801;Comércio atacadista de artigos de escritório e de papelaria
4647802;Comércio atacadista de livros, jornais e outras publicaçőes
4649401;Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico
4649402;Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico
4649403;Comércio atacadista de bicicletas, triciclos e outros veículos recreativos
4649404;Comércio atacadista de móveis e artigos de colchoaria
4649405;"Comércio atacadista de artigos de tapeçaria; persianas e cortinas"
4649406;Comércio atacadista de lustres, luminárias e abajures
4649407;Comércio atacadista de filmes, CDs, DVDs, fitas e discos
4649408;Comércio atacadista de produtos de higiene, limpeza e conservaçăo domiciliar
4649409;Comércio atacadista de produtos de higiene, limpeza e conservaçăo domiciliar, com atividade de fracionamento e acondicionamento associada
4649410;Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas
4649499;Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico năo especificados anteriormente
4651601;Comércio atacadista de equipamentos de informática
4651602;Comércio atacadista de suprimentos para informática
4652400;Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicaçăo
4661300;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças"
4662100;"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineraçăo e construçăo; partes e peças"
4663000;"Comércio atacadista de Máquinas e equipamentos para uso industrial; partes e peças"
4664800;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças"
4665600;"Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças"
4669901;"Comércio atacadista de bombas e compressores; partes e peças"
4669999;"Comércio atacadista de outras máquinas e equipamentos năo especificados anteriormente; partes e peças"
4671100;Comércio atacadista de madeira e produtos derivados
4672900;Comércio atacadista de ferragens e ferramentas
4673700;Comércio atacadista de material elétrico
4674500;Comércio atacadista de cimento
4679601;Comércio atacadista de tintas, vernizes e similares
4679602;Comércio atacadista de mármores e granitos
4679603;Comércio atacadista de vidros, espelhos, vitrais e molduras
4679604;Comércio atacadista especializado de materiais de construçăo năo especificados anteriormente
4679699;Comércio atacadista de materiais de construçăo em geral
4681801;Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, năo realizado por transportador re
4681802;Comércio atacadista de combustíveis realizado por transportador retalhista (T.R.R.)
4681803;Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante
4681804;Comércio atacadista de combustíveis de origem mineral em bruto
4681805;Comércio atacadista de lubrificantes
4682600;Comércio atacadista de gás liqüefeito de petróleo (GLP)
4683400;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo
4684201;Comércio atacadista de resinas e elastômeros
4684202;Comércio atacadista de solventes
4684299;Comércio atacadista de outros produtos químicos e petroquímicos năo especificados anteriormente
4685100;Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construçăo
4686901;Comércio atacadista de papel e papelăo em bruto
4686902;Comércio atacadista de embalagens
4687701;Comércio atacadista de resíduos de papel e papelăo
4687702;Comércio atacadista de resíduos e sucatas năo-metálicos, exceto de papel e papelăo
4687703;Comércio atacadista de resíduos e sucatas metálicos
4689301;Comércio atacadista de produtos da extraçăo mineral, exceto combustíveis
4689302;Comércio atacadista de fios e fibras beneficiados
4689399;Comércio atacadista especializado em outros produtos intermediários năo especificados anteriormente
4691500;Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios
4692300;Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários
4693100;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários
4711301;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados
4711302;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados
4712100;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns
4713001;Lojas de departamentos ou magazines
4713002;Lojas de variedades, exceto lojas de departamentos ou magazines
4713003;Lojas duty free de aeroportos internacionais
4713004;Lojas de departamentos ou magazines, exceto lojas francas (Duty free)
4713005;Lojas francas (Duty free) de aeroportos, portos e em fronteiras terrestres
4721101;Padaria e confeitaria com predominância de produçăo própria
4721102;Padaria e confeitaria com predominância de revenda
4721103;Comércio varejista de laticínios e frios
4721104;Comércio varejista de doces, balas, bombons e semelhantes
4722901;Comércio varejista de carnes - açougues
4722902;Peixaria
4723700;Comércio varejista de bebidas
4724500;Comércio varejista de hortifrutigranjeiros
4729601;Tabacaria
4729602;Comércio varejista de mercadorias em lojas de convenięncia
4729699;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios năo especificados anteriormente
4731800;Comércio varejista de combustíveis para veículos automotores
4732600;Comércio varejista de lubrificantes
4741500;Comércio varejista de tintas e materiais para pintura
4742300;Comércio varejista de material elétrico
4743100;Comércio varejista de vidros
4744001;Comércio varejista de ferragens e ferramentas
4744002;Comércio varejista de madeira e artefatos
4744003;Comércio varejista de materiais hidráulicos
4744004;Comércio varejista de cal, areia, pedra britada, tijolos e telhas
4744005;Comércio varejista de materiais de construçăo năo especificados anteriormente
4744006;Comércio varejista de pedras para revestimento
4744099;Comércio varejista de materiais de construçăo em geral
4751200;Comércio varejista especializado de equipamentos e suprimentos de informática
4751201;Comércio varejista especializado de equipamentos e suprimentos de informática
4751202;Recarga de cartuchos para equipamentos de informática
4752100;Comércio varejista especializado de equipamentos de telefonia e comunicaçăo
4753900;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo
4754701;Comércio varejista de móveis
4754702;Comércio varejista de artigos de colchoaria
4754703;Comércio varejista de artigos de iluminaçăo
4755501;Comércio varejista de tecidos
4755502;Comercio varejista de artigos de armarinho
4755503;Comercio varejista de artigos de cama, mesa e banho
4756300;Comércio varejista especializado de instrumentos musicais e acessórios
4757100;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicaçăo
4759801;Comércio varejista de artigos de tapeçaria, cortinas e persianas
4759899;Comércio varejista de outros artigos de uso pessoal e doméstico năo especificados anteriormente
4761001;Comércio varejista de livros
4761002;Comércio varejista de jornais e revistas
4761003;Comércio varejista de artigos de papelaria
4762800;Comércio varejista de discos, CDs, DVDs e fitas
4763601;Comércio varejista de brinquedos e artigos recreativos
4763602;Comércio varejista de artigos esportivos
4763603;"Comércio varejista de bicicletas e triciclos; peças e acessórios"
4763604;Comércio varejista de artigos de caça, pesca e camping
4763605;"Comércio varejista de embarcaçőes e outros veículos recreativos; peças e acessórios"
4771701;Comércio varejista de produtos farmacęuticos, sem manipulaçăo de fórmulas
4771702;Comércio varejista de produtos farmacęuticos, com manipulaçăo de fórmulas
4771703;Comércio varejista de produtos farmacęuticos homeopáticos
4771704;Comércio varejista de medicamentos veterinários
4772500;Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal
4773300;Comércio varejista de artigos médicos e ortopédicos
4774100;Comércio varejista de artigos de óptica
4781400;Comércio varejista de artigos do vestuário e acessórios
4782201;Comércio varejista de calçados
4782202;Comércio varejista de artigos de viagem
4783101;Comércio varejista de artigos de joalheria
4783102;Comércio varejista de artigos de relojoaria
4784900;Comércio varejista de gás liqüefeito de petróleo (GLP)
4785701;Comércio varejista de antigüidades
4785799;Comércio varejista de outros artigos usados
4789001;Comércio varejista de suvenires, bijuterias e artesanatos
4789002;Comércio varejista de plantas e flores naturais
4789003;Comércio varejista de objetos de arte
4789004;Comércio varejista de animais vivos e de artigos e alimentos para animais de estimaçăo
4789005;Comércio varejista de produtos saneantes domissanitários
4789006;Comércio varejista de fogos de artifício e artigos pirotécnicos
4789007;Comércio varejista de equipamentos para escritório
4789008;Comércio varejista de artigos fotográficos e para filmagem
4789009;Comércio varejista de armas e muniçőes
4789099;Comércio varejista de outros produtos năo especificados anteriormente
4911600;Transporte ferroviário de carga
4912401;Transporte ferroviário de passageiros intermunicipal e interestadual
4912402;Transporte ferroviário de passageiros municipal e em regiăo metropolitana
4912403;Transporte metroviário
4921301;Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal
4921302;Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em regiăo metropolitana
4922101;Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em regiăo metropolitana
4922102;Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual
4922103;Transporte rodoviário coletivo de passageiros, com itinerário fixo, internacional
4923001;Serviço de táxi
4923002;Serviço de transporte de passageiros - locaçăo de automóveis com motorista
4924800;Transporte escolar
4929901;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal
4929902;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional
4929903;Organizaçăo de excursőes em veículos rodoviários próprios, municipal
4929904;Organizaçăo de excursőes em veículos rodoviários próprios, intermunicipal, interestadual e internacional
4929999;Outros transportes rodoviários de passageiros năo especificados anteriormente
4930201;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.
4930202;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional
4930203;Transporte rodoviário de produtos perigosos
4930204;Transporte rodoviário de mudanças
4940000;Transporte dutoviário
4950700;Trens turísticos, teleféricos e similares
5011401;Transporte marítimo de cabotagem - Carga
5011402;Transporte marítimo de cabotagem - passageiros
5012201;Transporte marítimo de longo curso - Carga
5012202;Transporte marítimo de longo curso - Passageiros
5021101;Transporte por navegaçăo interior de carga, municipal, exceto travessia
5021102;Transporte por navegaçăo interior de carga, intermunicipal, interestadual e internacional, exceto travessia
5022001;Transporte por navegaçăo interior de passageiros em linhas regulares, municipal, exceto travessia
5022002;Transporte por navegaçăo interior de passageiros em linhas regulares, intermunicipal, interestadual e internacional, exceto travessia
5030101;Navegaçăo de apoio marítimo
5030102;Navegaçăo de apoio portuário
5030103;Serviço de rebocadores e empurradores
5091201;Transporte por navegaçăo de travessia, municipal
5091202;Transporte por navegaçăo de travessia intermunicipal, interestadual e internacional
5099801;Transporte aquaviário para passeios turísticos
5099899;Outros transportes aquaviários năo especificados anteriormente
5111100;Transporte aéreo de passageiros regular
5112901;Serviço de táxi aéreo e locaçăo de aeronaves com tripulaçăo
5112999;Outros serviços de transporte aéreo de passageiros năo-regular
5120000;Transporte aéreo de carga
5130700;Transporte espacial
5211701;Armazéns gerais - emissăo de warrant
5211702;Guarda-móveis
5211799;Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis
5212500;Carga e descarga
5221400;Concessionárias de rodovias, pontes, túneis e serviços relacionados
5222200;Terminais rodoviários e ferroviários
5223100;Estacionamento de veículos
5229001;Serviços de apoio ao transporte por táxi, inclusive centrais de chamada
5229002;Serviços de reboque de veículos
5229099;Outras atividades auxiliares dos transportes terrestres năo especificadas anteriormente
5231101;Administraçăo da infra-estrutura portuária
5231102;Atividades do Operador Portuário
5231103;Gestăo de terminais aquaviários
5232000;Atividades de agenciamento marítimo
5239700;Atividades auxiliares dos transportes aquaviários năo especificadas anteriormente
5239701;Serviços de praticagem
5239799;Atividades auxiliares dos transportes aquaviários năo especificadas anteriormente
5240101;Operaçăo dos aeroportos e campos de aterrissagem
5240199;Atividades auxiliares dos transportes aéreos, exceto operaçăo dos aeroportos e campos de aterrissagem
5250801;Comissaria de despachos
5250802;Atividades de despachantes aduaneiros
5250803;Agenciamento de cargas, exceto para o transporte marítimo
5250804;Organizaçăo logística do transporte de carga
5250805;Operador de transporte multimodal - OTM
5310501;Atividades do Correio Nacional
5310502;Atividades de franqueadas do Correio Nacional
5320201;Serviços de malote năo realizados pelo Correio Nacional
5320202;Serviços de entrega rápida
5510801;Hotéis
5510802;Apart-hotéis
5510803;Motéis
5590601;Albergues, exceto assistenciais
5590602;Campings
5590603;Pensőes (alojamento)
5590699;Outros alojamentos năo especificados anteriormente
5611201;Restaurantes e similares
5611202;Bares e outros estabelecimentos especializados em servir bebidas
5611203;Lanchonetes, casas de chá, de sucos e similares
5611204;Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento
5611205;Bares e outros estabelecimentos especializados em servir bebidas, com entretenimento
5612100;Serviços ambulantes de alimentaçăo
5620101;Fornecimento de alimentos preparados preponderantemente para empresas
